日期,信号
1988/02/29,买入
1989/10/13,卖出
1990/06/04,买入
1990/08/03,卖出
1991/01/18,买入
1992/10/05,卖出
1992/11/25,买入
1998/11/03,卖出
1999/02/23,买入
2001/11/08,卖出
2002/06/25,买入
2003/01/06,买入
2007/11/21,卖出
2008/04/18,买入
2008/09/29,卖出
2009/04/09,买入
2010/06/30,卖出
2010/09/27,买入
2011/08/02,卖出
2011/12/23,买入
2012/06/04,卖出
2013/01/18,买入
2015/08/10,卖出
2015/10/19,买入
2016/01/06,卖出
2016/04/20,买入
2016/06/24,买入
2016/09/07,买入
2017/12/29,卖出
